Episode,Episode-Reward,Total-Reward,ActionAVG,Q-Value,LinesCleared
390,1.3,10844.35,2.93,20.12037,0

391,20.95,10865.3,1.95,20.09601,0

392,48.85,10914.15,1.82,20.70487,0

393,33.7,10947.85,3.14,20.83587,0

394,59.0,11006.85,1.86,21.50665,1

395,22.95,11029.8,1.23,21.21537,0

396,40.15,11069.95,3.44,21.37663,0

397,29.6,11099.55,1.23,21.26423,0

398,39.1,11138.65,1.65,21.39088,0

399,41.05,11179.7,1.31,21.5329,0

400,56.65,11236.35,2.72,21.99397,0

401,30.75,11267.1,2.48,21.76854,0

402,52.15,11319.25,2.14,22.07534,0

403,41.2,11360.45,2.35,22.06673,0

404,30.1,11390.55,1.83,21.81031,0

405,50.1,11440.65,1.49,22.06159,0

406,12.25,11452.9,2.27,21.4047,0

407,33.15,11486.05,1.71,21.36586,0

408,50.7,11536.75,1.61,21.73064,0

409,8.8,11545.55,2.58,21.07059,0

410,54.6,11600.15,2.18,21.58955,0

411,26.8,11626.95,2.2,21.36625,0

412,35.9,11662.85,2.47,21.39794,0

413,33.0,11695.85,2.32,21.35724,0

414,15.9,11711.75,3.64,20.94096,0

415,31.15,11742.9,4.05,20.96146,0

416,39.0,11781.9,1.31,21.15398,0

417,44.85,11826.75,3.18,21.4348,0

418,40.2,11866.95,2.19,21.54782,0

419,42.6,11909.55,1.42,21.6894,0

420,27.1,11936.65,1.36,21.45038,0

421,64.4,12001.05,2.46,22.10439,0

422,55.7,12056.75,2.41,22.4155,0

423,38.95,12095.7,2.36,22.27973,0

424,8.4,12104.1,2.07,21.48714,0

425,13.85,12117.95,2.34,20.9955,0

426,40.55,12158.5,3.36,21.21523,0

427,37.95,12196.45,3.08,21.32702,0

428,33.25,12229.7,1.63,21.30791,0

429,47.6,12277.3,1.68,21.61598,0

430,17.15,12294.45,1.46,21.1696,0

431,26.25,12320.7,1.96,21.02841,0

432,23.65,12344.35,2.45,20.86049,0

433,53.35,12397.7,2.71,21.3986,0

434,59.3,12457.0,1.36,21.94951,0

435,11.3,12468.3,2.66,21.29646,0

436,4.85,12473.15,2.42,20.64523,0

437,43.55,12516.7,1.74,21.01127,0

438,46.75,12563.45,2.54,21.36696,0

439,20.95,12584.4,3.06,21.06211,0

440,51.0,12635.4,2.14,21.50198,0

441,17.6,12653.0,2.65,21.09138,0

442,26.45,12679.45,1.79,20.97229,0

443,42.2,12721.65,3.15,21.23437,0

444,37.85,12759.5,1.22,21.3396,0

445,35.6,12795.1,1.85,21.37054,0

446,29.55,12824.65,1.6,21.25839,0

447,13.1,12837.75,2.13,20.80134,0

448,37.15,12874.9,2.6,20.98826,0

449,23.55,12898.45,2.42,20.82712,0

450,53.85,12952.3,2.49,21.38399,0

451,31.15,12983.45,1.58,21.30481,0

452,55.15,13038.6,2.92,21.78345,0

453,24.45,13063.05,2.4,21.46364,0

454,26.5,13089.55,2.05,21.26192,0

455,38.75,13128.3,3.99,21.38121,0

456,21.45,13149.75,2.62,21.0844,0

457,38.45,13188.2,1.97,21.23688,0

458,25.6,13213.8,3.27,21.06593,0

459,44.7,13258.5,1.96,21.36319,0

460,27.95,13286.45,3.77,21.21669,0

461,27.2,13313.65,1.69,21.08628,0

462,38.25,13351.9,1.86,21.23384,0

463,63.75,13415.65,2.15,21.92194,0

464,24.05,13439.7,2.65,21.56198,0

465,60.15,13499.85,3.6,22.09525,0

466,36.85,13536.7,2.13,21.98429,0

467,40.4,13577.1,1.49,21.97817,0

468,34.2,13611.3,1.82,21.83392,0

469,29.8,13641.1,2.01,21.62314,0

470,43.25,13684.35,2.46,21.7624,0

471,-2.55,13681.8,1.94,20.8972,0

472,27.1,13708.9,1.87,20.83643,0

473,32.8,13741.7,3.16,20.91758,0

474,34.3,13776.0,2.85,21.01422,0

475,38.8,13814.8,2.96,21.19036,0

476,61.1,13875.9,2.17,21.82863,0

477,51.85,13927.75,3.42,22.11515,0

478,33.5,13961.25,1.73,21.92434,0

479,30.8,13992.05,2.93,21.71571,0

480,50.3,14042.35,2.91,21.99277,0

481,35.65,14078.0,2.85,21.87786,0

482,32.45,14110.45,2.27,21.71681,0

483,47.95,14158.4,2.12,21.94075,0

484,21.4,14179.8,1.3,21.51693,0

485,29.5,14209.3,1.41,21.37071,0

486,50.3,14259.6,2.34,21.7254,0

487,36.45,14296.05,3.05,21.68865,0

488,35.3,14331.35,1.93,21.6343,0

489,22.35,14353.7,1.34,21.3008,0

490,43.75,14397.45,1.42,21.52384,0

491,32.45,14429.9,1.39,21.44245,0

492,29.6,14459.5,2.5,21.31524,0

493,31.3,14490.8,1.73,21.25491,0

494,37.25,14528.05,1.95,21.34202,0

495,38.65,14566.7,3.62,21.44104,0

